cell_id,grid_row,grid_col,lat,lon,poi_bar,poi_school,poi_transit,poi_hospital,kde_density
0_0,0,0,41.6025,-87.9475,0,0,0,0,0.0
0_1,0,1,41.6025,-87.94250000000001,0,0,0,0,0.0
0_2,0,2,41.6025,-87.9375,0,0,0,0,0.0
0_3,0,3,41.6025,-87.9325,0,0,0,0,0.0
0_4,0,4,41.6025,-87.92750000000001,0,0,0,0,0.0
0_5,0,5,41.6025,-87.9225,0,0,0,0,0.0
0_6,0,6,41.6025,-87.9175,0,0,0,0,0.0
0_7,0,7,41.6025,-87.91250000000001,0,0,0,0,0.0
0_8,0,8,41.6025,-87.9075,0,0,0,0,0.0
0_9,0,9,41.6025,-87.9025,0,0,0,0,0.0
0_10,0,10,41.6025,-87.89750000000001,0,0,0,0,0.0
0_11,0,11,41.6025,-87.8925,0,0,0,0,0.0
0_12,0,12,41.6025,-87.8875,0,0,0,0,0.0
0_13,0,13,41.6025,-87.88250000000001,0,0,0,0,0.0
0_14,0,14,41.6025,-87.8775,0,0,0,0,0.0
0_15,0,15,41.6025,-87.8725,0,0,0,0,0.0
0_16,0,16,41.6025,-87.8675,0,0,0,0,0.0
0_17,0,17,41.6025,-87.8625,0,0,0,0,0.0
0_18,0,18,41.6025,-87.8575,0,0,0,0,0.0
0_19,0,19,41.6025,-87.8525,0,0,0,0,0.0
0_20,0,20,41.6025,-87.8475,0,0,0,0,0.0
0_21,0,21,41.6025,-87.8425,0,0,0,0,0.0
0_22,0,22,41.6025,-87.8375,0,0,0,0,0.0
0_23,0,23,41.6025,-87.8325,0,0,0,0,0.0
0_24,0,24,41.6025,-87.8275,0,0,0,0,0.0
0_25,0,25,41.6025,-87.8225,0,0,0,0,0.0
0_26,0,26,41.6025,-87.81750000000001,0,0,0,0,0.0
0_27,0,27,41.6025,-87.8125,0,0,0,0,0.0
0_28,0,28,41.6025,-87.8075,0,0,0,0,0.0
0_29,0,29,41.6025,-87.80250000000001,0,0,0,0,0.0
0_30,0,30,41.6025,-87.7975,0,0,0,0,0.0
0_31,0,31,41.6025,-87.7925,0,0,0,0,0.0
0_32,0,32,41.6025,-87.78750000000001,0,0,0,0,3.72255935717517e-298
0_33,0,33,41.6025,-87.7825,0,0,0,0,1.533553615567957e-271
0_34,0,34,41.6025,-87.7775,0,0,0,0,1.1179925115601121e-246
0_35,0,35,41.6025,-87.77250000000001,0,0,0,0,1.4423193259309779e-223
0_36,0,36,41.6025,-87.7675,0,0,0,0,3.292809065241281e-202
0_37,0,37,41.6025,-87.7625,0,0,0,0,1.3303143394922955e-182
0_38,0,38,41.6025,-87.75750000000001,0,0,0,0,9.510965223032333e-165
0_39,0,39,41.6025,-87.7525,0,0,0,0,1.203309963954159e-148
