Model,Metric,Chicago,LA,Gap(Chi-LA)
ConvLSTM,AUROC,0.9231,0.8836,0.0395
ConvLSTM,F1,0.434,0.2369,0.1971
ConvLSTM,PAI@100,15.5168,2.7775,12.7393
LSTM-only,AUROC,0.9341,0.6784,0.2557
LSTM-only,F1,0.4622,0.1253,0.3369
LSTM-only,PAI@100,16.5073,0.6172,15.8901
Conv-only,AUROC,0.9012,0.882,0.0192
Conv-only,F1,0.3997,0.2738,0.1259
Conv-only,PAI@100,12.3805,8.024,4.3565
Hybrid V1 (baseline),AUROC,0.9296,0.8634,0.0662
Hybrid V1 (baseline),F1,0.4489,0.2626,0.1863
Hybrid V1 (baseline),PAI@100,15.5168,10.258,5.2588
Hybrid V2 (Conv+Transformer),AUROC,0.932,0.7548,0.1772
Hybrid V2 (Conv+Transformer),F1,0.4543,0.17,0.2843
Hybrid V2 (Conv+Transformer),PAI@100,15.847,3.6205,12.2265
Hybrid V3 (ConvLSTM+STGAT+attent),AUROC,0.9296,0.8875,0.0421
Hybrid V3 (ConvLSTM+STGAT+attent),F1,0.4491,0.2939,0.1552
Hybrid V3 (ConvLSTM+STGAT+attent),PAI@100,16.1771,9.9563,6.2208
Hybrid V4 (MultiScale+STGAT),AUROC,0.9302,0.8485,0.0817
Hybrid V4 (MultiScale+STGAT),F1,0.4508,0.2593,0.1915
Hybrid V4 (MultiScale+STGAT),PAI@100,15.847,9.9563,5.8907
